season,team,g,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
1982,"New Jersey Nets",82,3343,6934,58,187,1946,2597,1142,2346,3488,1931,832,539,1809,2164,8690
1982,"Chicago Bulls",82,3659,7388,58,194,1533,2053,1134,2225,3359,2043,807,469,1257,2220,8909
1982,"New York Knicks",82,3541,7018,51,168,1793,2369,1125,2366,3491,2089,703,358,1462,2017,8926
1982,"Dallas Mavericks",82,3530,6953,31,138,1847,2491,1108,2361,3469,1984,643,509,1370,2243,8938
1982,"Portland Trail Blazers",82,3637,7293,54,206,1629,2149,1221,2367,3588,2114,708,427,1452,2142,8957
1982,"Los Angeles Lakers",82,3745,7679,78,213,1433,2008,1275,2255,3530,2319,718,434,1483,2004,9001
1982,"Golden State Warriors",82,3555,7250,40,172,1857,2466,1112,2407,3519,2079,661,393,1368,2156,9007
1982,"Kansas City Kings",82,3493,6984,48,158,2005,2653,1171,2552,3723,1853,707,450,1609,2136,9039
1982,"San Antonio Spurs",82,3566,7385,58,199,1893,2497,1151,2434,3585,2036,611,429,1352,2179,9083
1982,"Cleveland Cavaliers",82,3608,7044,39,131,1906,2529,1125,2529,3654,2169,655,480,1405,2071,9161
1982,"Detroit Pistons",82,3749,7362,41,175,1648,2211,1159,2434,3593,2191,782,581,1637,2383,9187
1982,"San Diego Clippers",82,3739,7105,36,146,1988,2647,1033,2276,3309,2129,772,488,1334,2124,9502
1982,"Utah Jazz",82,3835,7530,51,200,1837,2466,1253,2599,3852,2148,663,420,1413,2052,9558
1982,"Denver Nuggets",82,4265,8142,64,227,1734,2354,1358,2459,3817,2516,749,569,1476,2453,10328
1983,"New York Knicks",82,3132,6592,38,166,1695,2260,1073,2337,3410,1873,694,399,1682,2116,7997
1983,"Washington Bullets",82,3299,7044,37,163,1510,2084,1114,2514,3628,1871,698,555,1543,1975,8145
1983,"Phoenix Suns",82,3305,7265,44,199,1707,2268,1210,2326,3536,1988,712,343,1560,2039,8361
1983,"Milwaukee Bucks",82,3338,7318,38,209,1665,2243,1303,2343,3646,2043,623,300,1523,2145,8379
1983,"Atlanta Hawks",82,3383,7201,39,166,1608,2235,1303,2571,3874,1927,656,388,1468,1981,8413
1983,"New Jersey Nets",82,3327,6962,45,208,1746,2370,1102,2176,3278,1978,860,495,1871,2129,8445
1983,"Philadelphia 76ers",82,3442,7470,54,249,1624,2253,1325,2263,3588,2089,755,511,1590,2246,8562
1983,"Cleveland Cavaliers",82,3381,6911,32,146,1780,2396,974,2382,3356,2005,621,431,1275,1830,8574
1983,"Portland Trail Blazers",82,3503,7211,55,188,1572,2046,1126,2364,3490,2072,658,500,1546,2232,8633
1983,"Boston Celtics",82,3477,7401,48,180,1750,2307,1186,2393,3579,2027,699,340,1607,2137,8752
1983,"Seattle SuperSonics",82,3546,7703,49,197,1615,2184,1314,2397,3711,2146,726,360,1443,2152,8756
1983,"Los Angeles Lakers",82,3734,7617,55,212,1455,2008,1294,2166,3460,2389,766,380,1562,1863,8978
1983,"San Antonio Spurs",82,3654,7531,51,201,1716,2239,1160,2263,3423,2329,654,457,1430,2199,9075
1983,"Houston Rockets",82,3641,7244,33,125,1781,2375,1198,2710,3908,2252,772,406,1504,1933,9096
1983,"Golden State Warriors",82,3706,7260,42,167,1751,2391,1249,2495,3744,2170,758,489,1690,2026,9205
1983,"Kansas City Kings",82,3531,7250,40,188,2107,2885,1250,2403,3653,1997,809,439,1716,2245,9209
1983,"Detroit Pistons",82,3802,7679,21,182,1647,2287,1266,2594,3860,2252,761,561,1580,2326,9272
1983,"Dallas Mavericks",82,3758,7481,53,202,1708,2347,1217,2433,3650,2291,607,562,1383,2227,9277
1983,"Utah Jazz",82,3794,7932,48,199,1646,2288,1439,2671,4110,2202,826,448,1601,2102,9282
1983,"San Diego Clippers",82,3652,6910,32,130,1963,2626,1095,2365,3460,2105,789,519,1723,1962,9299
1983,"Indiana Pacers",82,3768,7284,40,142,1815,2413,1206,2564,3770,2237,761,439,1643,1886,9391
1983,"Chicago Bulls",82,3816,7712,46,176,1825,2438,1197,2456,3653,2230,845,633,1462,2266,9503
1983,"Denver Nuggets",82,4098,8120,71,253,1787,2393,1369,2697,4066,2389,728,611,1636,2356,10054
1984,"Milwaukee Bucks",82,3207,7033,42,203,1869,2489,1252,2235,3487,1959,653,319,1404,2093,8325
1984,"Atlanta Hawks",82,3277,6845,39,185,1834,2380,1191,2410,3601,2026,579,424,1409,2087,8427
1984,"New York Knicks",82,3260,6687,52,189,1876,2474,1045,2171,3216,2049,721,397,1683,2197,8448
1984,"Boston Celtics",82,3463,7372,71,219,1659,2143,1101,2227,3328,1957,703,328,1329,2090,8656
1984,"Philadelphia 76ers",82,3427,7136,47,207,1757,2367,1235,2237,3472,2062,805,483,1559,2237,8658
1984,"Washington Bullets",82,3465,7086,37,172,1693,2218,1037,2381,3418,2038,706,492,1277,2021,8660
1984,"Cleveland Cavaliers",82,3373,6930,50,190,1939,2541,983,2405,3388,2141,579,395,1224,1906,8735
1984,"Seattle SuperSonics",82,3585,7337,54,228,1655,2168,1167,2404,3571,2278,663,388,1330,2097,8879
1984,"Chicago Bulls",82,3502,7082,37,182,1885,2471,1125,2388,3513,2235,786,514,1513,2110,8926
1984,"New Jersey Nets",82,3422,6974,48,181,2037,2675,1097,2307,3404,1913,781,416,1674,2161,8929
1984,"Indiana Pacers",82,3552,7175,29,146,1828,2415,1194,2564,3758,2117,761,444,1587,1930,8961
1984,"Portland Trail Blazers",82,3566,6943,57,208,1797,2366,1059,2185,3244,2119,649,440,1633,2184,8986
1984,"Dallas Mavericks",82,3633,7282,63,222,1688,2198,1180,2346,3526,2131,632,417,1386,2213,9017
1984,"Phoenix Suns",82,3509,7061,54,219,1956,2540,1065,2333,3398,2059,675,298,1480,2038,9028
1984,"Kansas City Kings",82,3601,7169,33,164,1909,2510,1126,2387,3513,2108,660,493,1584,2191,9144
1984,"Los Angeles Lakers",82,3672,7600,63,223,1763,2346,1253,2154,3407,2261,797,376,1443,1973,9170
1984,"Golden State Warriors",82,3725,7210,36,171,1801,2377,1211,2513,3724,2150,691,494,1694,2246,9287
1984,"Detroit Pistons",82,3657,7369,53,202,1941,2577,1163,2457,3620,2193,621,527,1480,2187,9308
1984,"Houston Rockets",82,3583,7412,42,157,2116,2803,1197,2458,3655,2023,782,426,1421,1916,9324
1984,"Utah Jazz",82,3745,7872,46,208,1799,2414,1458,2461,3919,2237,747,466,1438,2194,9335
1984,"San Diego Clippers",82,3771,7406,53,187,1749,2233,1112,2163,3275,2370,727,458,1242,2043,9344
1984,"San Antonio Spurs",82,3996,7910,52,216,1840,2427,1293,2455,3748,2518,652,464,1427,2187,9884
1984,"Denver Nuggets",82,4016,7747,62,205,2143,2860,1228,2737,3965,2453,671,545,1538,2272,10237
1985,"Milwaukee Bucks",82,3214,6972,80,308,2020,2700,1236,2293,3529,1904,642,389,1562,2104,8528
1985,"Washington Bullets",82,3494,7179,66,232,1623,2172,1119,2673,3792,1988,630,397,1467,1833,8677
1985,"Seattle SuperSonics",82,3520,7142,79,253,1703,2212,1113,2379,3492,2220,732,458,1383,2020,8822
1985,"Atlanta Hawks",82,3504,7267,46,212,1808,2384,1332,2411,3743,2087,674,373,1488,1972,8862
1985,"Boston Celtics",82,3642,7642,71,269,1512,1922,1105,2287,3392,2041,641,315,1222,1964,8867
1985,"Philadelphia 76ers",82,3494,7157,80,311,1857,2397,1183,2173,3356,2139,753,391,1534,2209,8925
1985,"Dallas Mavericks",82,3626,7200,98,318,1588,2080,1062,2470,3532,2113,572,430,1340,2066,8938
1985,"Utah Jazz",82,3532,7604,72,280,1810,2375,1360,2645,4005,2069,806,443,1606,2076,8946
1985,"New Jersey Nets",82,3514,7041,79,262,1849,2454,1084,2405,3489,1975,680,352,1496,1933,8956
1985,"Houston Rockets",82,3500,7274,90,258,1887,2425,1159,2222,3381,2117,773,415,1495,1903,8977
1985,"Chicago Bulls",82,3521,7210,91,292,1852,2394,1137,2260,3397,2045,668,447,1323,2040,8985
